% Model:              turbulent flows.mph
% Version:            COMSOL 6.2.0.290
% Date:               Sep 4 2026, 17:57
% Dimension:          2
% Nodes:              14641
% Expressions:        1
% Description:        Surface
% r                       z                        tds.DiT_c/1e-9[m^2/s]
0                         0                        338702.6591278278
4.999999999999997E-4      0                        338570.5309591395
0                         0.0022222222222222227    322765.3246354728
4.999999999999996E-4      0.0022222222222222227    322675.14221208636
0                         0.004463118580765641     311815.61005516263
4.999999999999998E-4      0.004463118580765641     311734.46275062166
9.93589743589743E-4       0                        338411.6195637364
9.93589743589743E-4       0.0022222222222222227    322510.9967952011
0                         0.006722689075630253     303657.51061939483
4.999999999999997E-4      0.006722689075630253     303582.1377306362
0.0014807692307692297     0                        338221.0632842268
0.0014807692307692297     0.0022222222222222227    322301.33303900604
0                         0.009000933706816061     297242.2081088967
4.999999999999995E-4      0.009000933706816061     297171.08788359433
0.0019615384615384603     0                        337993.24992626713
0.0019615384615384603     0.0022222222222222227    322047.59104947397
0                         0.011297852474323064     291997.4296656231
4.999999999999998E-4      0.011297852474323068     291929.68807702814
0.0024358974358974343     0                        337721.73176894925
0.0024358974358974343     0.0022222222222222227    321744.3844851608
0                         0.013613445378151262     287582.78899167565
4.999999999999997E-4      0.013613445378151262     287517.83043164836
0.0029038461538461523     0                        337399.13869775116
0.0029038461538461527     0.0022222222222222227    321384.153439952
0                         0.015947712418300657     283782.3144549452
4.999999999999997E-4      0.015947712418300657     283719.69385834417
0.0033653846153846134     0                        337017.09186920675
0.0033653846153846134     0.0022222222222222227    320957.90842757217
0                         0.018300653594771243     280451.844454049
4.999999999999996E-4      0.018300653594771243     280391.2198007559
0.003820512820512817      0                        336566.1211241609
0.0038205128205128173     0.0022222222222222222    320455.35101155814
0                         0.02067226890756303      277491.11975037743
4.999999999999998E-4      0.020672268907563032     277432.22212329664
0.004269230769230767      0                        336035.59030416317
0.004269230769230766      0.002222222222222223     319864.85888499254
0                         0.023062558356676005     274828.1203757761
4.999999999999996E-4      0.023062558356676012     274770.67852593376
0.004711538461538457      0                        335413.6356810148
0.004711538461538458      0.002222222222222223     319173.44401417574
0                         0.02547152194211018      272411.1307957454
4.999999999999998E-4      0.025471521942110182     272353.29194187507
0.005147435897435895      0                        334687.1238529106
0.005147435897435897      0.0022222222222222222    318366.717119587
0                         0.02789915966386555      270201.2337315015
4.999999999999998E-4      0.02789915966386555      270140.55466152896
0.005576923076923073      0                        333841.63663829985
0.005576923076923073      0.0022222222222222222    317428.87445196556
0                         0.03034547152194211      268162.29723466345
4.999999999999997E-4      0.03034547152194212      268107.9872929402
0.005999999999999996      0                        332861.4916260419
0.0059999999999999975     0.0022222222222222222    316342.7183940618
0                         0.03281045751633987      266271.42696226976
4.999999999999997E-4      0.03281045751633987      266219.6013306978
0.0064166666666666625     0                        331729.8079960382
0.0064166666666666625     0.002222222222222223     315089.7222010439
0                         0.03529411764705882      264506.80267053575
4.999999999999998E-4      0.03529411764705882      264456.3741517094
0.0068269230769230724     0                        330428.6278453114
0.0068269230769230724     0.0022222222222222222    313650.14865515457
0                         0.03779645191409897      262852.3180488978
4.999999999999997E-4      0.037796451914098986     262802.95386524
0.007230769230769225      0                        328939.1033359919
